country,percentage
Burundi,4.07
Comoros,5.12
Djibouti,7.37
Eritrea,6.44
Ethiopia,5.33
Kenya,4.16
Madagascar,5.01
Malawi,4.09
Mauritius,18.43
Mayotte,6.10
Mozambique,4.38
Réunion,18.27
Rwanda,5.12
Seychelles,12.99
Somalia,4.56
South Sudan,5.15
Uganda,3.23
Tanzania,4.23
Zambia,3.42
Zimbabwe,4.63
Angola,3.66
Cameroon,4.30
Central African Republic,4.47
Chad,3.94
Congo,4.53
Democratic Republic of Congo,4.68
Equatorial Guinea,3.78
Gabon,5.35
Sao Tome and Principe,4.98
Botswana,7.02
Eswatini,5.71
Lesotho,7.52
Namibia,5.61
South Africa,8.54
Benin,5.08
Burkina Faso,3.93
Cabo Verde,7.56
Cote d'Ivoire,4.68
Gambia,3.94
Ghana,5.29
Guinea,4.71
Guinea-Bissau,4.57
Liberia,5.24
Mali,3.86
Mauritania,5.09
Niger,4.11
Nigeria,4.51
Senegal,4.82
Sierra Leone,4.63
Togo,4.69
Algeria,9.91
Egypt,8.23
Libya,6.91
Morocco,11.85
Sudan,5.67
Tunisia,13.43
Western Sahara,6.35
Armenia,18.45
Azerbaijan,11.64
Bahrain,5.30
Cyprus,19.79
Georgia,21.50
Iraq,5.11
Israel,16.46
Jordan,6.08
Kuwait,6.53
Lebanon,11.20
Oman,4.27
Qatar,3.56
Saudi Arabia,5.85
Syria,7.53
Turkey,13.07
United Arab Emirates,3.14
Yemen,4.64
Kazakhstan,12.22
Kyrgyzstan,8.10
Tajikistan,5.76
Turkmenistan,8.10
Uzbekistan,8.28
Afghanistan,4.22
Bangladesh,7.96
Bhutan,8.97
India,10.12
Iran,10.29
Maldives,5.74
Nepal,8.65
Pakistan,6.74
Sri Lanka,16.43
China,17.35
Taiwan,22.92
Japan,34.32
Mongolia,7.29
South Korea,23.15
Brunei Darussalam,9.50
Cambodia,7.57
Indonesia,10.06
Laos,6.79
Malaysia,10.96
Myanmar,10.00
Philippines,8.61
Singapore,20.93
Thailand,19.22
Timor-Leste,6.57
Vietnam,12.32
Antigua and Barbuda,14.09
Aruba,21.82
Bahamas,12.22
Barbados,23.15
Cuba,21.25
Curaçao,24.51
Dominican Republic,11.11
Grenada,14.87
Guadeloupe,26.11
Haiti,7.74
Jamaica,13.27
Martinique,29.24
Puerto Rico,27.69
Saint Lucia,14.88
Saint Vincent and the Grenadines,14.68
Trinidad and Tobago,16.92
Belize,7.64
Costa Rica,15.05
El Salvador,12.06
Guatemala,7.23
Honduras,7.37
Mexico,11.24
Nicaragua,8.69
Panama,12.24
Argentina,15.53
Bolivia,10.37
Brazil,14.05
Chile,17.38
Colombia,13.16
Ecuador,11.00
French Guiana,8.87
Guyana,10.85
Paraguay,9.90
Peru,12.51
Suriname,10.82
Uruguay,20.24
Venezuela,12.11
Australia,21.78
New Zealand,22.21
Fiji,9.63
New Caledonia,14.19
Papua New Guinea,6.00
Solomon Islands,5.63
Vanuatu,5.81
Guam,15.21
Kiribati,6.75
Micronesia,7.85
French Polynesia,13.58
Samoa,8.04
Tonga,8.72
Belarus,22.62
Bulgaria,28.19
Czechia,26.15
Hungary,26.75
Poland,25.94
Moldova,18.89
Romania,25.94
Russia,22.41
Slovakia,23.33
Ukraine,23.64
Channel Islands,24.02
Denmark,26.13
Estonia,26.84
Finland,28.99
Iceland,21.60
Ireland,19.64
Latvia,27.58
Lithuania,27.47
Norway,23.27
Sweden,25.94
United Kingdom,24.41
Albania,21.18
Bosnia and Herzegovina,25.29
Croatia,28.29
Greece,28.78
Italy,29.84
Malta,28.15
Montenegro,22.10
North Macedonia,20.67
Portugal,29.37
Serbia,25.33
Slovenia,27.74
Spain,26.26
Austria,25.67
Belgium,25.60
France,26.84
Germany,28.63
Luxembourg,19.95
Netherlands,26.60
Switzerland,25.29
Canada,24.89
United States,22.88
